sample,re,im,,,,,
0,-180,0,,,,,
1,-167,0,,,,,
2,-80,0,,,,,
3,-68,0,,,,,
4,-84,0,,,,,
5,-190,0,,,,,
6,-164,0,,,,,
7,-319,0,,,,,
8,-342,0,,,,,
9,-473,0,,,,,
10,-510,0,,,,,
11,-434,0,,,,,
12,-310,0,,,,,
13,-208,0,,,,,
14,-303,0,,,,,
15,-271,0,,,,,
16,-96,0,,,,,
17,-44,0,,,,,
18,-71,0,,,,,
19,-103,0,,,,,
20,-177,0,,,,,
21,-413,0,,,,,
22,-608,0,,,,,
23,-539,0,,,,,
24,-659,0,,,,,
25,-814,0,,,,,
26,-736,0,,,,,
27,-660,0,,,,,
28,-500,0,,,,,
29,-518,0,,,,,
30,-715,0,,,,,
31,-865,0,,,,,
32,-921,0,,,,,
33,-908,0,,,,,
34,-950,0,,,,,
35,-1134,0,,,,,
36,-1228,0,,,,,
37,-947,0,,,,,
38,-741,0,,,,,
39,-773,0,,,,,
40,-733,0,,,,,
41,-711,0,,,,,
42,-804,0,,,,,
43,-764,0,,,,,
44,-783,0,,,,,
45,-671,0,,,,,
46,-730,0,,,,,
47,-672,0,,,,,
48,-621,0,,,,,
49,-636,0,,,,,
50,-583,0,,,,,
51,-565,0,,,,,
52,-595,0,,,,,
53,-721,0,,,,,
54,-587,0,,,,,
55,-543,0,,,,,
56,-587,0,,,,,
57,-571,0,,,,,
58,-506,0,,,,,
59,-470,0,,,,,
60,-482,0,,,,,
61,-357,0,,,,,
62,-320,0,,,,,
63,-494,0,,,,,
64,-537,0,,,,,
65,-455,0,,,,,
66,-443,0,,,,,
67,-433,0,,,,,
68,-491,0,,,,,
69,-535,0,,,,,
70,-543,0,,,,,
71,-577,0,,,,,
72,-419,0,,,,,
73,-366,0,,,,,
74,-347,0,,,,,
75,-197,0,,,,,
76,-89,0,,,,,
77,11,0,,,,,
78,-50,0,,,,,
79,-77,0,,,,,
80,66,0,,,,,
81,256,0,,,,,
82,295,0,,,,,
83,179,0,,,,,
84,147,0,,,,,
85,204,0,,,,,
86,154,0,,,,,
87,26,0,,,,,
88,100,0,,,,,
89,119,0,,,,,
90,113,0,,,,,
91,154,0,,,,,
92,107,0,,,,,
93,162,0,,,,,
94,-1,0,,,,,
95,18,0,,,,,
96,128,0,,,,,
97,133,0,,,,,
98,292,0,,,,,
99,255,0,,,,,
100,344,0,,,,,
101,523,0,,,,,
102,493,0,,,,,
103,446,0,,,,,
104,392,0,,,,,
105,358,0,,,,,
106,392,0,,,,,
107,312,0,,,,,
108,419,0,,,,,
109,367,0,,,,,
110,325,0,,,,,
111,380,0,,,,,
112,541,0,,,,,
113,774,0,,,,,
114,607,0,,,,,
115,582,0,,,,,
116,541,0,,,,,
117,508,0,,,,,
118,435,0,,,,,
119,281,0,,,,,
120,187,0,,,,,
121,132,0,,,,,
122,193,0,,,,,
123,251,0,,,,,
124,259,0,,,,,
125,282,0,,,,,
126,193,0,,,,,
127,353,0,,,,,
128,496,0,,,,,
129,501,0,,,,,
130,404,0,,,,,
131,329,0,,,,,
132,562,0,,,,,
133,690,0,,,,,
134,591,0,,,,,
135,528,0,,,,,
136,399,0,,,,,
137,482,0,,,,,
138,443,0,,,,,
139,419,0,,,,,
140,510,0,,,,,
141,368,0,,,,,
142,404,0,,,,,
143,508,0,,,,,
144,419,0,,,,,
145,419,0,,,,,
146,348,0,,,,,
147,424,0,,,,,
148,563,0,,,,,
149,425,0,,,,,
150,420,0,,,,,
151,319,0,,,,,
152,319,0,,,,,
153,243,0,,,,,
154,233,0,,,,,
155,335,0,,,,,
156,397,0,,,,,
157,392,0,,,,,
158,274,0,,,,,
159,205,0,,,,,
160,228,0,,,,,
161,255,0,,,,,
162,277,0,,,,,
163,201,0,,,,,
164,111,0,,,,,
165,95,0,,,,,
166,106,0,,,,,
167,190,0,,,,,
168,136,0,,,,,
169,45,0,,,,,
170,115,0,,,,,
171,98,0,,,,,
172,82,0,,,,,
173,169,0,,,,,
174,58,0,,,,,
175,-56,0,,,,,
176,-120,0,,,,,
177,-206,0,,,,,
178,-307,0,,,,,
179,-385,0,,,,,
180,-457,0,,,,,
181,-456,0,,,,,
182,-576,0,,,,,
183,-595,0,,,,,
184,-711,0,,,,,
185,-729,0,,,,,
186,-590,0,,,,,
187,-564,0,,,,,
188,-563,0,,,,,
189,-510,0,,,,,
190,-439,0,,,,,
191,-425,0,,,,,
192,-450,0,,,,,
193,-292,0,,,,,
194,-382,0,,,,,
195,-457,0,,,,,
196,-468,0,,,,,
197,-445,0,,,,,
198,-448,0,,,,,
199,-539,0,,,,,
200,-585,0,,,,,
201,-607,0,,,,,
202,-589,0,,,,,
203,-547,0,,,,,
204,-597,0,,,,,
205,-631,0,,,,,
206,-640,0,,,,,
207,-719,0,,,,,
208,-684,0,,,,,
209,-706,0,,,,,
210,-577,0,,,,,
211,-608,0,,,,,
212,-626,0,,,,,
213,-508,0,,,,,
214,-362,0,,,,,
215,-132,0,,,,,
216,-248,0,,,,,
217,-141,0,,,,,
218,47,0,,,,,
219,24,0,,,,,
220,-4,0,,,,,
221,-194,0,,,,,
222,-319,0,,,,,
223,-259,0,,,,,
224,-205,0,,,,,
225,-64,0,,,,,
226,-47,0,,,,,
227,32,0,,,,,
228,236,0,,,,,
229,222,0,,,,,
230,274,0,,,,,
231,261,0,,,,,
232,404,0,,,,,
233,536,0,,,,,
234,480,0,,,,,
235,586,0,,,,,
236,638,0,,,,,
237,672,0,,,,,
238,594,0,,,,,
239,447,0,,,,,
240,491,0,,,,,
241,368,0,,,,,
242,223,0,,,,,
243,167,0,,,,,
244,116,0,,,,,
245,186,0,,,,,
246,110,0,,,,,
247,84,0,,,,,
248,41,0,,,,,
249,74,0,,,,,
250,-15,0,,,,,
251,-199,0,,,,,
252,-264,0,,,,,
253,-243,0,,,,,
254,-249,0,,,,,
255,-332,0,,,,,
256,-258,0,,,,,
257,-164,0,,,,,
258,-160,0,,,,,
259,-20,0,,,,,
260,9,0,,,,,
261,-3,0,,,,,
262,-7,0,,,,,
263,41,0,,,,,
264,97,0,,,,,
265,92,0,,,,,
266,77,0,,,,,
267,-11,0,,,,,
268,-107,0,,,,,
269,53,0,,,,,
270,195,0,,,,,
271,244,0,,,,,
272,263,0,,,,,
273,259,0,,,,,
274,275,0,,,,,
275,320,0,,,,,
276,454,0,,,,,
277,410,0,,,,,
278,419,0,,,,,
279,527,0,,,,,
280,490,0,,,,,
281,558,0,,,,,
282,541,0,,,,,
283,655,0,,,,,
284,684,0,,,,,
285,592,0,,,,,
286,675,0,,,,,
287,703,0,,,,,
288,631,0,,,,,
289,619,0,,,,,
290,550,0,,,,,
291,432,0,,,,,
292,409,0,,,,,
293,480,0,,,,,
294,589,0,,,,,
295,544,0,,,,,
296,565,0,,,,,
297,607,0,,,,,
298,553,0,,,,,
299,637,0,,,,,
300,685,0,,,,,
301,713,0,,,,,
302,707,0,,,,,
303,641,0,,,,,
304,500,0,,,,,
305,359,0,,,,,
306,352,0,,,,,
307,230,0,,,,,
308,129,0,,,,,
309,21,0,,,,,
310,-72,0,,,,,
311,-142,0,,,,,
312,-80,0,,,,,
313,24,0,,,,,
314,63,0,,,,,
315,-125,0,,,,,
316,-124,0,,,,,
317,141,0,,,,,
318,311,0,,,,,
319,197,0,,,,,
320,159,0,,,,,
321,382,0,,,,,
322,312,0,,,,,
323,243,0,,,,,
324,359,0,,,,,
325,362,0,,,,,
326,515,0,,,,,
327,479,0,,,,,
328,466,0,,,,,
329,406,0,,,,,
330,418,0,,,,,
331,405,0,,,,,
332,171,0,,,32115, ,129.37751
333,169,0,,,,,
334,241,0,,,,,
335,321,0,,,,,
336,304,0,,,,,
337,243,0,,,,,
338,242,0,,,,,
339,274,0,,,,,
340,189,0,,,,,
341,187,0,,,,,
342,83,0,,,,,
343,8,0,,,,,
344,-59,0,,,,,
345,25,0,,,,,
346,117,0,,,,,
347,17,0,,,,,
348,-68,0,,,,,
349,-144,0,,,,,
350,-120,0,,,,,
351,-41,0,,,,,
352,-156,0,,,,,
353,-214,0,,,,,
354,-247,0,,,,,
355,-152,0,,,,,
356,-195,0,,,,,
357,-198,0,,,,,
358,-80,0,,,,,
359,20,0,,,,,
360,226,0,,,,,
361,307,0,,,,,
362,256,0,,,,,
363,103,0,,,,,
364,-5,0,,,,,
365,3,0,,,,,
366,-42,0,,,,,
367,-29,0,,,,,
368,-93,0,,,,,
369,-181,0,,,,,
370,-302,0,,,,,
371,-473,0,,,,,
372,-517,0,,,,,
373,-497,0,,,,,
374,-546,0,,,,,
375,-635,0,,,,,
376,-722,0,,,,,
377,-759,0,,,,,
378,-723,0,,,,,
379,-751,0,,,,,
380,-745,0,,,,,
381,-629,0,,,,,
382,-470,0,,,,,
383,-534,0,,,,,
384,-613,0,,,,,
385,-574,0,,,,,
386,-461,0,,,,,
387,-449,0,,,,,
388,-359,0,,,,,
389,-133,0,,,,,
390,-117,0,,,,,
391,-180,0,,,,,
392,-39,0,,,,,
393,137,0,,,,,
394,341,0,,,,,
395,277,0,,,,,
396,115,0,,,,,
397,65,0,,,,,
398,20,0,,,,,
399,134,0,,,,,
400,145,0,,,,,
401,-55,0,,,,,
402,-158,0,,,,,
403,-78,0,,,,,
404,119,0,,,,,
405,305,0,,,,,
406,333,0,,,,,
407,288,0,,,,,
408,335,0,,,,,
409,287,0,,,,,
410,240,0,,,,,
411,217,0,,,,,
412,76,0,,,,,
413,-116,0,,,,,
414,-270,0,,,,,
415,-276,0,,,,,
416,-269,0,,,,,
417,-471,0,,,,,
418,-615,0,,,,,
419,-564,0,,,,,
420,-540,0,,,,,
421,-521,0,,,,,
422,-528,0,,,,,
423,-516,0,,,,,
424,-413,0,,,,,
425,-440,0,,,,,
426,-563,0,,,,,
427,-661,0,,,,,
428,-713,0,,,,,
429,-605,0,,,,,
430,-668,0,,,,,
431,-682,0,,,,,
432,-546,0,,,,,
433,-493,0,,,,,
434,-479,0,,,,,
435,-264,0,,,,,
436,-137,0,,,,,
437,-205,0,,,,,
438,-412,0,,,,,
439,-409,0,,,,,
440,-311,0,,,,,
441,-419,0,,,,,
442,-554,0,,,,,
443,-615,0,,,,,
444,-579,0,,,,,
445,-445,0,,,,,
446,-427,0,,,,,
447,-269,0,,,,,
