lane,index,frame,bin,re,im
A,0,0,0,0,0
A,1,0,1,-1,0
A,2,0,2,-1,0
A,3,0,3,0,0
A,4,0,4,-1,0
A,5,0,5,-2,0
A,6,0,6,-1,0
A,7,0,7,0,0
A,8,0,8,0,0
A,9,0,9,-1,0
A,10,0,10,-1,0
A,11,0,11,0,0
A,12,0,12,-1,0
A,13,0,13,-1,0
A,14,0,14,-1,0
A,15,0,15,0,0
A,16,0,16,0,0
A,17,0,17,0,0
A,18,0,18,0,0
A,19,0,19,0,0
A,20,0,20,-1,0
A,21,0,21,-1,0
A,22,0,22,-1,0
A,23,0,23,0,0
A,24,0,24,-1,0
A,25,0,25,-1,0
A,26,0,26,-1,0
A,27,0,27,0,0
A,28,0,28,-1,0
A,29,0,29,0,0
A,30,0,30,-2,0
A,31,0,31,0,0
A,32,0,32,0,0
A,33,0,33,-2,0
A,34,0,34,-1,0
A,35,0,35,0,0
A,36,0,36,0,0
A,37,0,37,-1,0
A,38,0,38,-2,0
A,39,0,39,1,0
A,40,0,40,0,0
A,41,0,41,-1,0
A,42,0,42,-1,0
A,43,0,43,0,0
A,44,0,44,0,0
A,45,0,45,0,0
A,46,0,46,-1,0
A,47,0,47,1,0
A,48,0,48,0,0
A,49,0,49,-2,0
A,50,0,50,-1,0
A,51,0,51,0,0
A,52,0,52,0,0
A,53,0,53,-1,0
A,54,0,54,-2,0
A,55,0,55,1,0
A,56,0,56,0,0
A,57,0,57,-1,0
A,58,0,58,0,0
A,59,0,59,0,0
A,60,0,60,0,0
A,61,0,61,-1,0
A,62,0,62,-1,0
A,63,0,63,0,0
A,64,0,64,-1,0
A,65,0,65,-3,0
A,66,0,66,-3,0
A,67,0,67,-2,0
A,68,0,68,-2,0
A,69,0,69,-2,0
A,70,0,70,-4,0
A,71,0,71,0,0
A,72,0,72,-2,0
A,73,0,73,-3,0
A,74,0,74,-4,0
A,75,0,75,-1,0
A,76,0,76,-2,0
A,77,0,77,-1,0
A,78,0,78,-4,0
A,79,0,79,-1,0
A,80,0,80,-1,0
A,81,0,81,-1,0
A,82,0,82,-2,0
A,83,0,83,1,0
A,84,0,84,-2,0
A,85,0,85,0,0
A,86,0,86,-1,0
A,87,0,87,0,0
A,88,0,88,-2,0
A,89,0,89,0,0
A,90,0,90,-2,0
A,91,0,91,0,0
A,92,0,92,-3,0
A,93,0,93,0,0
A,94,0,94,-1,0
A,95,0,95,0,0
A,96,0,96,-3,0
A,97,0,97,-3,0
A,98,0,98,-4,0
A,99,0,99,-2,0
A,100,0,100,-3,0
A,101,0,101,-2,0
A,102,0,102,-2,0
A,103,0,103,-2,0
A,104,0,104,-4,0
A,105,0,105,-2,0
A,106,0,106,-3,0
A,107,0,107,-1,0
A,108,0,108,-4,0
A,109,0,109,-3,0
A,110,0,110,-3,0
A,111,0,111,-1,0
A,112,0,112,-3,0
A,113,0,113,-3,0
A,114,0,114,-3,0
A,115,0,115,-2,0
A,116,0,116,-4,0
A,117,0,117,-1,0
A,118,0,118,-4,0
A,119,0,119,-3,0
A,120,0,120,-5,0
A,121,0,121,-3,0
A,122,0,122,-3,0
A,123,0,123,-1,0
A,124,0,124,-4,0
A,125,0,125,-2,0
A,126,0,126,-4,0
A,127,0,127,-2,0
A,128,2,0,1,0
A,129,2,1,3,0
A,130,2,2,3,0
A,131,2,3,1,0
A,132,2,4,0,0
A,133,2,5,3,0
A,134,2,6,3,0
A,135,2,7,2,0
A,136,2,8,1,0
A,137,2,9,2,0
A,138,2,10,2,0
A,139,2,11,1,0
A,140,2,12,2,0
A,141,2,13,2,0
A,142,2,14,3,0
A,143,2,15,1,0
A,144,2,16,1,0
A,145,2,17,1,0
A,146,2,18,2,0
A,147,2,19,0,0
A,148,2,20,2,0
A,149,2,21,1,0
A,150,2,22,2,0
A,151,2,23,0,0
A,152,2,24,1,0
A,153,2,25,2,0
A,154,2,26,1,0
A,155,2,27,0,0
A,156,2,28,2,0
A,157,2,29,1,0
A,158,2,30,2,0
A,159,2,31,0,0
A,160,2,32,2,0
A,161,2,33,5,0
A,162,2,34,5,0
A,163,2,35,3,0
A,164,2,36,3,0
A,165,2,37,3,0
A,166,2,38,4,0
A,167,2,39,2,0
A,168,2,40,2,0
A,169,2,41,3,0
A,170,2,42,4,0
A,171,2,43,2,0
A,172,2,44,2,0
A,173,2,45,2,0
A,174,2,46,3,0
A,175,2,47,2,0
A,176,2,48,2,0
A,177,2,49,2,0
A,178,2,50,3,0
A,179,2,51,2,0
A,180,2,52,3,0
A,181,2,53,3,0
A,182,2,54,2,0
A,183,2,55,3,0
A,184,2,56,2,0
A,185,2,57,4,0
A,186,2,58,4,0
A,187,2,59,2,0
A,188,2,60,3,0
A,189,2,61,2,0
A,190,2,62,3,0
A,191,2,63,2,0
A,192,2,64,-1,0
A,193,2,65,-2,0
A,194,2,66,0,0
A,195,2,67,-3,0
A,196,2,68,-1,0
A,197,2,69,-4,0
A,198,2,70,-2,0
A,199,2,71,-2,0
A,200,2,72,0,0
A,201,2,73,-2,0
A,202,2,74,-1,0
A,203,2,75,-2,0
A,204,2,76,0,0
A,205,2,77,-3,0
A,206,2,78,-1,0
A,207,2,79,-1,0
A,208,2,80,-1,0
A,209,2,81,-5,0
A,210,2,82,-2,0
A,211,2,83,-4,0
A,212,2,84,-1,0
A,213,2,85,-5,0
A,214,2,86,-4,0
A,215,2,87,-2,0
A,216,2,88,-2,0
A,217,2,89,-3,0
A,218,2,90,-3,0
A,219,2,91,-2,0
A,220,2,92,-1,0
A,221,2,93,-3,0
A,222,2,94,-3,0
A,223,2,95,-1,0
A,224,2,96,0,0
A,225,2,97,-2,0
A,226,2,98,-1,0
A,227,2,99,-2,0
A,228,2,100,-1,0
A,229,2,101,-2,0
A,230,2,102,-2,0
A,231,2,103,0,0
A,232,2,104,-1,0
A,233,2,105,-1,0
A,234,2,106,-1,0
A,235,2,107,-2,0
A,236,2,108,0,0
A,237,2,109,-2,0
A,238,2,110,-1,0
A,239,2,111,-1,0
A,240,2,112,-1,0
A,241,2,113,-4,0
A,242,2,114,-3,0
A,243,2,115,-2,0
A,244,2,116,-2,0
A,245,2,117,-2,0
A,246,2,118,-3,0
A,247,2,119,-2,0
A,248,2,120,-2,0
A,249,2,121,-2,0
A,250,2,122,-2,0
A,251,2,123,0,0
A,252,2,124,-2,0
A,253,2,125,-2,0
